[ 2025-02-27 18:41:11,750 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-27 18:41:29,646 ] 51 root - INFO - performed train test split on dataframe
[ 2025-02-27 18:41:29,646 ] 52 root - INFO - excited the train test split method of Data Ingestion class
[ 2025-02-27 18:41:29,647 ] 55 root - INFO - Exporting train and test file path.
[ 2025-02-27 18:41:29,690 ] 62 root - INFO - Exported train and test file path.
[ 2025-02-27 18:41:29,690 ] 18 root - INFO - Data Initiation Completed
[ 2025-02-27 18:41:29,696 ] 22 root - INFO - Initiate the data Validation
[ 2025-02-27 18:41:29,753 ] 32 root - INFO - Required number of columns:2
[ 2025-02-27 18:41:29,753 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-27 18:41:29,753 ] 32 root - INFO - Required number of columns:2
[ 2025-02-27 18:41:29,753 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-27 18:41:29,878 ] 24 root - INFO - data Validation Completed
[ 2025-02-27 18:41:29,878 ] 26 root - INFO - Data Transformation started
[ 2025-02-27 18:41:29,878 ] 47 root - INFO - Entered initiate_data_transformation method of Data Transformation class
[ 2025-02-27 18:41:29,878 ] 49 root - INFO - Starting data transformation
[ 2025-02-27 18:41:29,901 ] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-02-27 18:41:29,901 ] 41 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-27 18:41:29,916 ] 42 root - INFO - Entered the save_object method of mainutils class
[ 2025-02-27 18:41:29,919 ] 46 root - INFO - Exited the save_object method of mainutils class
[ 2025-02-27 18:41:29,919 ] 31 root - INFO - Data Transformation Completed
[ 2025-02-27 18:41:29,919 ] 33 root - INFO - Model training started
[ 2025-02-27 18:44:29,701 ] 42 root - INFO - Entered the save_object method of mainutils class
[ 2025-02-27 18:44:29,702 ] 46 root - INFO - Exited the save_object method of mainutils class
[ 2025-02-27 18:44:29,702 ] 116 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_27_2025_18_41_08\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990713338095724, precision_score=0.9887960888164595, recall_score=0.992638036809816), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9779179810725552, precision_score=0.9771473601260835, recall_score=0.978689818468824))
[ 2025-02-27 18:44:29,705 ] 37 root - INFO - Model training artifact created
