[ 2025-02-26 16:57:40,568 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-26 16:58:00,132 ] 49 root - INFO - performed train test split on dataframe
[ 2025-02-26 16:58:00,132 ] 50 root - INFO - excited the train test split method of Data Ingestion class
[ 2025-02-26 16:58:00,133 ] 53 root - INFO - Exporting train and test file path.
[ 2025-02-26 16:58:00,178 ] 60 root - INFO - Exported train and test file path.
[ 2025-02-26 16:58:00,180 ] 18 root - INFO - Data Initiation Completed
[ 2025-02-26 16:58:00,186 ] 22 root - INFO - Initiate the data Validation
[ 2025-02-26 16:58:00,274 ] 32 root - INFO - Required number of columns:2
[ 2025-02-26 16:58:00,274 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-26 16:58:00,275 ] 32 root - INFO - Required number of columns:2
[ 2025-02-26 16:58:00,275 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-26 16:58:00,389 ] 24 root - INFO - data Validation Completed
[ 2025-02-26 16:58:00,389 ] 26 root - INFO - Data Transformation started
[ 2025-02-26 16:58:00,389 ] 47 root - INFO - Entered initiate_data_transformation method of Data Transformation class
[ 2025-02-26 16:58:00,389 ] 49 root - INFO - Starting data transformation
[ 2025-02-26 16:58:00,407 ] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-02-26 16:58:00,407 ] 41 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
