[ 2025-02-26 17:00:58,206 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-26 17:01:05,283 ] 49 root - INFO - performed train test split on dataframe
[ 2025-02-26 17:01:05,283 ] 50 root - INFO - excited the train test split method of Data Ingestion class
[ 2025-02-26 17:01:05,283 ] 53 root - INFO - Exporting train and test file path.
[ 2025-02-26 17:01:05,327 ] 60 root - INFO - Exported train and test file path.
[ 2025-02-26 17:01:05,328 ] 18 root - INFO - Data Initiation Completed
[ 2025-02-26 17:01:05,334 ] 22 root - INFO - Initiate the data Validation
[ 2025-02-26 17:01:05,449 ] 32 root - INFO - Required number of columns:2
[ 2025-02-26 17:01:05,449 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-26 17:01:05,450 ] 32 root - INFO - Required number of columns:2
[ 2025-02-26 17:01:05,450 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-26 17:01:05,582 ] 24 root - INFO - data Validation Completed
[ 2025-02-26 17:01:05,582 ] 26 root - INFO - Data Transformation started
[ 2025-02-26 17:01:05,583 ] 47 root - INFO - Entered initiate_data_transformation method of Data Transformation class
[ 2025-02-26 17:01:05,583 ] 49 root - INFO - Starting data transformation
[ 2025-02-26 17:01:05,604 ] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-02-26 17:01:05,605 ] 41 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-26 17:01:05,621 ] 40 root - INFO - Entered the save_object method of mainutils class
[ 2025-02-26 17:01:05,625 ] 44 root - INFO - Exited the save_object method of mainutils class
[ 2025-02-26 17:01:05,626 ] 31 root - INFO - Data Transformation Completed
