[ 2025-02-27 18:00:12,332 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-27 18:00:28,343 ] 51 root - INFO - performed train test split on dataframe
[ 2025-02-27 18:00:28,344 ] 52 root - INFO - excited the train test split method of Data Ingestion class
[ 2025-02-27 18:00:28,344 ] 55 root - INFO - Exporting train and test file path.
[ 2025-02-27 18:00:28,387 ] 62 root - INFO - Exported train and test file path.
[ 2025-02-27 18:00:28,387 ] 18 root - INFO - Data Initiation Completed
[ 2025-02-27 18:00:28,403 ] 22 root - INFO - Initiate the data Validation
[ 2025-02-27 18:00:28,448 ] 32 root - INFO - Required number of columns:2
[ 2025-02-27 18:00:28,448 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-27 18:00:28,449 ] 32 root - INFO - Required number of columns:2
[ 2025-02-27 18:00:28,449 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-27 18:00:28,568 ] 24 root - INFO - data Validation Completed
[ 2025-02-27 18:00:28,570 ] 26 root - INFO - Data Transformation started
[ 2025-02-27 18:00:28,570 ] 47 root - INFO - Entered initiate_data_transformation method of Data Transformation class
[ 2025-02-27 18:00:28,570 ] 49 root - INFO - Starting data transformation
[ 2025-02-27 18:00:28,587 ] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-02-27 18:00:28,587 ] 41 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-27 18:00:28,597 ] 42 root - INFO - Entered the save_object method of mainutils class
[ 2025-02-27 18:00:28,599 ] 46 root - INFO - Exited the save_object method of mainutils class
[ 2025-02-27 18:00:28,600 ] 31 root - INFO - Data Transformation Completed
[ 2025-02-27 18:00:28,600 ] 33 root - INFO - Model training started
