[ 2025-02-27 18:00:46,783 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-27 18:00:53,458 ] 51 root - INFO - performed train test split on dataframe
[ 2025-02-27 18:00:53,459 ] 52 root - INFO - excited the train test split method of Data Ingestion class
[ 2025-02-27 18:00:53,459 ] 55 root - INFO - Exporting train and test file path.
[ 2025-02-27 18:00:53,500 ] 62 root - INFO - Exported train and test file path.
[ 2025-02-27 18:00:53,500 ] 18 root - INFO - Data Initiation Completed
[ 2025-02-27 18:00:53,506 ] 22 root - INFO - Initiate the data Validation
[ 2025-02-27 18:00:53,584 ] 32 root - INFO - Required number of columns:2
[ 2025-02-27 18:00:53,584 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-27 18:00:53,588 ] 32 root - INFO - Required number of columns:2
[ 2025-02-27 18:00:53,588 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-27 18:00:53,694 ] 24 root - INFO - data Validation Completed
[ 2025-02-27 18:00:53,694 ] 26 root - INFO - Data Transformation started
[ 2025-02-27 18:00:53,694 ] 47 root - INFO - Entered initiate_data_transformation method of Data Transformation class
[ 2025-02-27 18:00:53,694 ] 49 root - INFO - Starting data transformation
[ 2025-02-27 18:00:53,713 ] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-02-27 18:00:53,713 ] 41 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-27 18:00:53,723 ] 42 root - INFO - Entered the save_object method of mainutils class
[ 2025-02-27 18:00:53,726 ] 46 root - INFO - Exited the save_object method of mainutils class
[ 2025-02-27 18:00:53,726 ] 31 root - INFO - Data Transformation Completed
[ 2025-02-27 18:00:53,727 ] 33 root - INFO - Model training started
