[ 2025-02-26 16:47:25,219 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-26 16:47:41,421 ] 49 root - INFO - performed train test split on dataframe
[ 2025-02-26 16:47:41,421 ] 50 root - INFO - excited the train test split method of Data Ingestion class
[ 2025-02-26 16:47:41,422 ] 53 root - INFO - Exporting train and test file path.
[ 2025-02-26 16:47:41,466 ] 60 root - INFO - Exported train and test file path.
[ 2025-02-26 16:47:41,467 ] 18 root - INFO - Data Initiation Completed
[ 2025-02-26 16:47:41,471 ] 22 root - INFO - Initiate the data Validation
[ 2025-02-26 16:47:41,554 ] 32 root - INFO - Required number of columns:2
[ 2025-02-26 16:47:41,554 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-26 16:47:41,555 ] 32 root - INFO - Required number of columns:2
[ 2025-02-26 16:47:41,555 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-26 16:47:41,683 ] 24 root - INFO - data Validation Completed
[ 2025-02-26 16:47:41,683 ] 26 root - INFO - Data Transformation started
[ 2025-02-26 16:47:41,683 ] 47 root - INFO - Entered initiate_data_transformation method of Data Transformation class
[ 2025-02-26 16:47:41,683 ] 49 root - INFO - Starting data transformation
[ 2025-02-26 16:47:41,705 ] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-02-26 16:47:41,705 ] 41 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
